Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Title (w/ year),Country,Language,Release_Date
Greasy Kid Stuff,https://www.imdb.com/title/tt0079218/,5.7,1486,100.0,"['Comedy', 'Romance']",R,,IMDB,Greasy Kid Stuff (1979) ,"
Country:
Israel
|
West Germany
","
Language:
Hebrew
|
Polish
","
Release Date: 1979 (Israel)
    
See more »
    
"
The Prisoner of Zenda,https://www.imdb.com/title/tt0079753/,5.2,1043,108.0,"['Adventure', 'Comedy']",PG,,IMDB,The Prisoner of Zenda (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 17 August 1979 (USA)
    
See more »
    
"
The Brood,https://www.imdb.com/title/tt0078908/,6.9,24522,92.0,"['Horror', 'Sci-Fi']",R,63.0,IMDB,The Brood (1979) ,"
Country:
Canada
","
Language:
English
","
Release Date: 25 May 1979 (USA)
    
See more »
    
"
Alien,https://www.imdb.com/title/tt0078748/,8.4,765614,117.0,"['Horror', 'Sci-Fi']",R,89.0,IMDB,Alien (1979) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 22 June 1979 (USA)
    
See more »
    
"
Wise Blood,https://www.imdb.com/title/tt0080140/,7.1,4907,106.0,"['Comedy', 'Drama']",PG,84.0,IMDB,Wise Blood (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 17 February 1980 (USA)
    
See more »
    
"
Woyzeck,https://www.imdb.com/title/tt0080149/,7.1,8626,82.0,['Drama'],Not Rated,,IMDB,Woyzeck (1979) ,"
Country:
West Germany
","
Language:
German
","
Release Date: 24 August 1979 (USA)
    
See more »
    
"
Apocalypse Now,https://www.imdb.com/title/tt0078788/,8.4,588391,147.0,"['Drama', 'Mystery', 'War']",R,94.0,IMDB,Apocalypse Now (1979) ,"
Country:
USA
","
Language:
English
|
French
|
Vietnamese
","
Release Date: 15 August 1979 (USA)
    
See more »
    
"
Hanover Street,https://www.imdb.com/title/tt0079268/,6.0,4547,109.0,"['Action', 'Adventure', 'Drama']",PG,32.0,IMDB,Hanover Street (1979) ,"
Country:
UK
","
Language:
English
|
German
","
Release Date: 13 September 1979 (UK)
    
See more »
    
"
A Force of One,https://www.imdb.com/title/tt0079168/,5.2,3311,90.0,"['Action', 'Crime', 'Drama']",PG,51.0,IMDB,A Force of One (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 May 1979 (USA)
    
See more »
    
"
Beyond the Poseidon Adventure,https://www.imdb.com/title/tt0078856/,4.7,4642,114.0,"['Action', 'Adventure']",PG,22.0,IMDB,Beyond the Poseidon Adventure (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 May 1979 (USA)
    
See more »
    
"
Five Evenings,https://www.imdb.com/title/tt0079764/,7.6,1029,103.0,"['Drama', 'Romance']",,,IMDB,Five Evenings (1979) ,"
Country:
Soviet Union
","
Language:
Russian
","
Release Date: November 1979 (USA)
    
See more »
    
"
Zulu Dawn,https://www.imdb.com/title/tt0080180/,6.7,6201,98.0,"['Adventure', 'Drama', 'History']",PG,,IMDB,Zulu Dawn (1979) ,"
Country:
Netherlands
|
USA
","
Language:
English
|
Zulu
","
Release Date: 15 May 1979 (USA)
    
See more »
    
"
Quadrophenia,https://www.imdb.com/title/tt0079766/,7.3,16695,120.0,"['Drama', 'Music']",R,79.0,IMDB,Quadrophenia (1979) ,"
Country:
UK
","
Language:
English
","
Release Date: 2 November 1979 (USA)
    
See more »
    
"
The Third Generation,https://www.imdb.com/title/tt0079083/,6.9,2005,111.0,"['Crime', 'Drama']",,,IMDB,The Third Generation (1979) ,"
Country:
West Germany
","
Language:
German
|
English
|
French
","
Release Date: 9 September 1980 (USA)
    
See more »
    
"
Winter Kills,https://www.imdb.com/title/tt0080139/,6.1,2213,97.0,"['Comedy', 'Drama', 'Mystery']",R,,IMDB,Winter Kills (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 11 May 1979 (USA)
    
See more »
    
"
The Killer Nun,https://www.imdb.com/title/tt0078343/,5.0,1535,88.0,"['Horror', 'Mystery', 'Thriller']",Not Rated,,IMDB,The Killer Nun (1979) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 10 May 1979 (Italy)
    
See more »
    
"
Last Embrace,https://www.imdb.com/title/tt0079437/,6.1,2405,102.0,"['Mystery', 'Romance', 'Thriller']",R,,IMDB,Last Embrace (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 4 May 1979 (USA)
    
See more »
    
"
The Tin Drum,https://www.imdb.com/title/tt0078875/,7.5,21769,142.0,"['Drama', 'War']",R,63.0,IMDB,The Tin Drum (1979) ,"
Country:
West Germany
|
France
|
Poland
|
Yugoslavia
","
Language:
German
|
Italian
|
Hebrew
|
Polish
|
Russian
|
Latin
","
Release Date: 11 April 1980 (USA)
    
See more »
    
"
Beneath the Valley of the Ultra-Vixens,https://www.imdb.com/title/tt0078846/,5.6,2808,93.0,['Comedy'],,,IMDB,Beneath the Valley of the Ultra-Vixens (1979) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: April 1979 (USA)
    
See more »
    
"
Saint Jack,https://www.imdb.com/title/tt0079843/,7.0,1714,112.0,['Drama'],R,,IMDB,Saint Jack (1979) ,"
Country:
USA
","
Language:
English
|
Cantonese
|
Dutch
|
French
|
Italian
","
Release Date: 5 December 1979 (France)
    
See more »
    
"
A Little Romance,https://www.imdb.com/title/tt0079477/,7.5,5147,110.0,"['Adventure', 'Comedy', 'Romance']",PG,52.0,IMDB,A Little Romance (1979) ,"
Country:
France
|
USA
","
Language:
English
|
French
|
Italian
","
Release Date: 27 April 1979 (USA)
    
See more »
    
"
The Dark,https://www.imdb.com/title/tt0079027/,4.3,1217,92.0,"['Horror', 'Sci-Fi', 'Thriller']",R,,IMDB,The Dark (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 27 April 1979 (USA)
    
See more »
    
"
SÃ©rie noire,https://www.imdb.com/title/tt0079980/,7.6,2512,111.0,"['Crime', 'Drama']",Not Rated,,IMDB,Série noire (1979) ,"
Country:
France
","
Language:
French
","
Release Date: 25 April 1979 (France)
    
See more »
    
"
Long quan,https://www.imdb.com/title/tt0079484/,6.2,1937,97.0,"['Action', 'Drama']",Not Rated,,IMDB,Long quan (1979) ,"
Country:
Hong Kong
|
Taiwan
","
Language:
Cantonese
|
Mandarin
|
English
","
Release Date: 21 April 1979 (Hong Kong)
    
See more »
    
"
Vengeance Is Mine,https://www.imdb.com/title/tt0079182/,7.8,5651,139.0,"['Crime', 'Drama']",Not Rated,,IMDB,Vengeance Is Mine (1979) ,"
Country:
Japan
","
Language:
Japanese
|
English
","
Release Date: 17 October 1979 (USA)
    
See more »
    
"
Rock 'n' Roll High School,https://www.imdb.com/title/tt0079813/,6.7,8762,93.0,"['Comedy', 'Music']",PG,70.0,IMDB,Rock 'n' Roll High School (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 1982 (Italy)
    
See more »
    
"
Gol Maal,https://www.imdb.com/title/tt0079221/,8.6,17191,120.0,"['Comedy', 'Romance']",Not Rated,,IMDB,Gol Maal (1979) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 20 April 1979 (India)
    
See more »
    
"
Manhattan,https://www.imdb.com/title/tt0079522/,7.9,128763,96.0,"['Comedy', 'Drama', 'Romance']",R,83.0,IMDB,Manhattan (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 April 1979 (USA)
    
See more »
    
"
Baton Baton Mein,https://www.imdb.com/title/tt0157339/,7.6,1014,112.0,"['Comedy', 'Romance']",,,IMDB,Baton Baton Mein (1979) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 13 April 1979 (India)
    
See more »
    
"
Love at First Bite,https://www.imdb.com/title/tt0079489/,6.2,5190,96.0,['Comedy'],PG,,IMDB,Love at First Bite (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 27 April 1979 (USA)
    
See more »
    
"
Za jia xiao zi,https://www.imdb.com/title/tt0080166/,7.3,1132,92.0,"['Action', 'Comedy', 'Drama']",PG-13,,IMDB,Za jia xiao zi (1979) ,"
Country:
Hong Kong
","
Language:
Cantonese
","
Release Date: 12 April 1979 (Hong Kong)
    
See more »
    
"
Mad Max,https://www.imdb.com/title/tt0079501/,6.9,186668,88.0,"['Action', 'Adventure', 'Sci-Fi']",R,73.0,IMDB,Mad Max (1979) ,"
Country:
Australia
","
Language:
English
","
Release Date: 21 March 1980 (USA)
    
See more »
    
"
Panny z Wilka,https://www.imdb.com/title/tt0079696/,7.5,1092,118.0,"['Drama', 'Romance']",,,IMDB,Panny z Wilka (1979) ,"
Country:
Poland
|
France
","
Language:
Polish
|
French
","
Release Date: 30 May 1979 (France)
    
See more »
    
"
Buck Rogers in the 25th Century,https://www.imdb.com/title/tt0077278/,6.7,4972,89.0,"['Action', 'Adventure', 'Sci-Fi']",PG,,IMDB,Buck Rogers in the 25th Century (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 30 March 1979 (USA)
    
See more »
    
"
Flic ou voyou,https://www.imdb.com/title/tt0077563/,6.7,1995,107.0,"['Action', 'Comedy', 'Crime']",PG,,IMDB,Flic ou voyou (1979) ,"
Country:
France
","
Language:
French
","
Release Date: 28 March 1979 (France)
    
See more »
    
"
The Visitor,https://www.imdb.com/title/tt0080100/,5.2,2892,108.0,"['Horror', 'Sci-Fi']",R,65.0,IMDB,The Visitor (1979) ,"
Country:
Italy
","
Language:
English
","
Release Date: 21 November 1980 (USA)
    
See more »
    
"
The Champ,https://www.imdb.com/title/tt0078950/,6.9,7641,121.0,"['Drama', 'Sport']",PG,38.0,IMDB,The Champ (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 4 April 1979 (USA)
    
See more »
    
"
Fast Company,https://www.imdb.com/title/tt0079138/,5.5,1587,91.0,"['Drama', 'Sport']",R,,IMDB,Fast Company (1979) ,"
Country:
Canada
","
Language:
English
","
Release Date: 17 August 1979 (USA)
    
See more »
    
"
The Riddle of the Sands,https://www.imdb.com/title/tt0079808/,6.4,1083,102.0,"['Adventure', 'Drama', 'Thriller']",PG,,IMDB,The Riddle of the Sands (1979) ,"
Country:
UK
","
Language:
English
|
German
","
Release Date: 16 March 1979 (UK)
    
See more »
    
"
Hair,https://www.imdb.com/title/tt0079261/,7.6,34228,121.0,"['Comedy', 'Drama', 'Musical']",PG,68.0,IMDB,Hair (1979) ,"
Country:
USA
|
West Germany
","
Language:
English
","
Release Date: 15 March 1979 (USA)
    
See more »
    
"
The China Syndrome,https://www.imdb.com/title/tt0078966/,7.4,26326,122.0,"['Drama', 'Thriller']",PG,81.0,IMDB,The China Syndrome (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 16 March 1979 (USA)
    
See more »
    
"
Real Life,https://www.imdb.com/title/tt0079781/,7.0,2519,99.0,['Comedy'],PG,64.0,IMDB,Real Life (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 23 March 1979 (USA)
    
See more »
    
"
Norma Rae,https://www.imdb.com/title/tt0079638/,7.3,10116,114.0,['Drama'],PG,61.0,IMDB,Norma Rae (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 2 March 1979 (USA)
    
See more »
    
"
The Odd Angry Shot,https://www.imdb.com/title/tt0079652/,6.7,1027,92.0,"['Action', 'Comedy', 'War']",Not Rated,,IMDB,The Odd Angry Shot (1979) ,"
Country:
Australia
","
Language:
English
","
Release Date: 1 March 1979 (USA)
    
See more »
    
"
Angels' Brigade,https://www.imdb.com/title/tt0078778/,2.0,1657,97.0,"['Action', 'Comedy']",PG,,IMDB,Angels' Brigade (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: February 1979 (USA)
    
See more »
    
"
Breakthrough,https://www.imdb.com/title/tt0078320/,5.1,1009,115.0,"['Drama', 'War']",PG,,IMDB,Breakthrough (1979) ,"
Country:
West Germany
","
Language:
German
|
English
|
French
","
Release Date: February 1979 (Austria)
    
See more »
    
"
Iskanderija... lih?,https://www.imdb.com/title/tt0077751/,7.4,1282,133.0,['Drama'],Not Rated,,IMDB,Iskanderija... lih? (1979) ,"
Country:
Egypt
|
Algeria
","
Language:
Arabic
|
English
","
Release Date: 27 February 1980 (France)
    
See more »
    
"
The Passage,https://www.imdb.com/title/tt0079700/,6.0,1526,98.0,"['Action', 'Drama', 'War']",R,25.0,IMDB,The Passage (1979) ,"
Country:
UK
","
Language:
English
|
German
","
Release Date: 26 February 1979 (Turkey)
    
See more »
    
"
RepmÃ¥nad eller Hur man gÃ¶r pojkar av mÃ¤n,https://www.imdb.com/title/tt0079794/,6.5,3304,85.0,['Comedy'],,,IMDB,Repmånad eller Hur man gör pojkar av män (1979) ,"
Country:
Sweden
","
Language:
Swedish
","
Release Date: 23 February 1979 (Sweden)
    
See more »
    
"
Christ Stopped at Eboli,https://www.imdb.com/title/tt0079010/,7.7,1936,150.0,['Drama'],,,IMDB,Christ Stopped at Eboli (1979) ,"
Country:
Italy
|
France
","
Language:
Italian
","
Release Date: 23 February 1979 (Italy)
    
See more »
    
"
Ashanti,https://www.imdb.com/title/tt0078801/,5.4,1663,118.0,"['Action', 'Adventure', 'Drama']",R,,IMDB,Ashanti (1979) ,"
Country:
Switzerland
|
USA
","
Language:
English
","
Release Date: 6 April 1979 (USA)
    
See more »
    
"
The Marriage of Maria Braun,https://www.imdb.com/title/tt0079095/,7.8,11877,120.0,['Drama'],R,,IMDB,The Marriage of Maria Braun (1979) ,"
Country:
West Germany
","
Language:
German
|
English
|
French
","
Release Date: 23 March 1979 (West Germany)
    
See more »
    
"
Xiao quan guai zhao,https://www.imdb.com/title/tt0079315/,6.7,3961,98.0,"['Comedy', 'Action']",R,,IMDB,Xiao quan guai zhao (1979) ,"
Country:
Hong Kong
|
South Korea
","
Language:
Cantonese
","
Release Date: 17 February 1979 (Hong Kong)
    
See more »
    
"
Escape to Athena,https://www.imdb.com/title/tt0079117/,5.7,4288,125.0,"['Action', 'Adventure', 'Comedy']",PG,,IMDB,Escape to Athena (1979) ,"
Country:
UK
","
Language:
English
","
Release Date: 6 June 1979 (USA)
    
See more »
    
"
Coup de tÃªte,https://www.imdb.com/title/tt0079002/,7.2,1587,89.0,"['Comedy', 'Drama', 'Sport']",,,IMDB,Coup de tête (1979) ,"
Country:
France
","
Language:
French
|
English
","
Release Date: 14 February 1979 (France)
    
See more »
    
"
Quintet,https://www.imdb.com/title/tt0079770/,5.1,2918,118.0,"['Drama', 'Mystery', 'Sci-Fi']",R,,IMDB,Quintet (1979) ,"
Country:
USA
","
Language:
English
|
Latin
","
Release Date: 11 April 1979 (France)
    
See more »
    
"
The North Avenue Irregulars,https://www.imdb.com/title/tt0079639/,6.8,1036,100.0,"['Action', 'Comedy', 'Crime']",G,,IMDB,The North Avenue Irregulars (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 9 February 1979 (USA)
    
See more »
    
"
Hardcore,https://www.imdb.com/title/tt0079271/,7.0,8655,108.0,"['Crime', 'Drama']",R,63.0,IMDB,Hardcore (1979) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 9 February 1979 (USA)
    
See more »
    
"
Agatha,https://www.imdb.com/title/tt0078736/,6.3,2724,105.0,"['Drama', 'Mystery', 'Thriller']",PG,,IMDB,Agatha (1979) ,"
Country:
UK
","
Language:
English
","
Release Date: 9 February 1979 (USA)
    
See more »
    
"
Nea Marin miliardar,https://www.imdb.com/title/tt0079615/,8.4,3301,88.0,['Comedy'],,,IMDB,Nea Marin miliardar (1979) ,"
Country:
Romania
","
Language:
Romanian
|
English
","
Release Date: 5 February 1979 (Romania)
    
See more »
    
"
The Warriors,https://www.imdb.com/title/tt0080120/,7.6,91438,92.0,"['Action', 'Crime', 'Thriller']",R,65.0,IMDB,The Warriors (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 9 February 1979 (USA)
    
See more »
    
"
Murder by Decree,https://www.imdb.com/title/tt0079592/,6.9,4757,124.0,"['Mystery', 'Thriller']",PG,,IMDB,Murder by Decree (1979) ,"
Country:
UK
|
Canada
","
Language:
English
","
Release Date: 9 February 1979 (USA)
    
See more »
    
"
Tourist Trap,https://www.imdb.com/title/tt0080040/,6.2,7883,90.0,['Horror'],PG,,IMDB,Tourist Trap (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 16 March 1979 (USA)
    
See more »
    
"
Phantasm,https://www.imdb.com/title/tt0079714/,6.8,31125,89.0,"['Horror', 'Sci-Fi']",R,72.0,IMDB,Phantasm (1979) ,"
Country:
USA
","
Language:
English
","
Release Date: 28 March 1979 (USA)
    
See more »
    
"
The Troops & Aliens,https://www.imdb.com/title/tt0079200/,6.3,7357,96.0,"['Comedy', 'Crime', 'Sci-Fi']",,,IMDB,The Troops & Aliens (1979) ,"
Country:
France
","
Language:
French
|
English
","
Release Date: 31 January 1979 (France)
    
See more »
    
"
Love and Bullets,https://www.imdb.com/title/tt0079488/,5.8,1607,103.0,"['Action', 'Crime', 'Drama']",PG,,IMDB,Love and Bullets (1979) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: March 1979 (UK)
    
See more »
    
"
Love on the Run,https://www.imdb.com/title/tt0078771/,7.1,5895,94.0,"['Comedy', 'Drama', 'Romance']",PG,,IMDB,Love on the Run (1979) ,"
Country:
France
","
Language:
French
","
Release Date: 6 April 1979 (USA)
    
See more »
    
"
Screamers,https://www.imdb.com/title/tt0081467/,5.1,1622,81.0,"['Action', 'Adventure', 'Horror']",R,,IMDB,Screamers (1979) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 26 June 1981 (USA)
    
See more »
    
"
Nosferatu the Vampyre,https://www.imdb.com/title/tt0079641/,7.5,31269,107.0,"['Drama', 'Horror']",PG,79.0,IMDB,Nosferatu the Vampyre (1979) ,"
Country:
West Germany
|
France
","
Language:
German
|
English
|
Romany
","
Release Date: 15 February 1979 (Italy)
    
See more »
    
"
Nacionalna klasa,https://www.imdb.com/title/tt0079606/,8.5,3092,105.0,"['Comedy', 'Drama', 'Sport']",,,IMDB,Nacionalna klasa (1979) ,"
Country:
Yugoslavia
","
Language:
Serbo-Croatian
","
Release Date: 9 January 1979 (Yugoslavia)
    
See more »
    
"
Joi Baba Felunath,https://www.imdb.com/title/tt0077775/,8.0,1564,112.0,"['Family', 'Adventure', 'Crime']",,,IMDB,Joi Baba Felunath (1979) ,"
Country:
India
","
Language:
Bengali
","
Release Date: 5 January 1979 (India)
    
See more »
    
"
Stalker,https://www.imdb.com/title/tt0079944/,8.2,111091,162.0,"['Drama', 'Sci-Fi']",Not Rated,,IMDB,Stalker (1979) ,"
Country:
Soviet Union
","
Language:
Russian
","
Release Date: 17 April 1980 (Netherlands)
    
See more »
    
"
Neseli GÃ¼nler,https://www.imdb.com/title/tt0765833/,8.7,9481,92.0,"['Comedy', 'Drama', 'Family']",,,IMDB,Neseli Günler (1978) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: 1978 (Turkey)
    
See more »
    
"
Petrol krallari,https://www.imdb.com/title/tt0282062/,6.8,1123,89.0,['Comedy'],,,IMDB,Petrol krallari (1978) ,"
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
YÃ¼z Numarali Adam,https://www.imdb.com/title/tt0253970/,7.8,5009,79.0,['Comedy'],,,IMDB,Yüz Numarali Adam (1978) ,"
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
Iyi Aile Ãocugu,https://www.imdb.com/title/tt0253151/,7.2,2546,79.0,['Comedy'],,,IMDB,Iyi Aile Çocugu (1978) ,"
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
Inek Saban,https://www.imdb.com/title/tt0253143/,7.6,3704,71.0,"['Comedy', 'Family', 'Romance']",,,IMDB,Inek Saban (1978) ,"
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
Terror,https://www.imdb.com/title/tt0141897/,5.1,1141,84.0,['Horror'],R,,IMDB,Terror (1978) ,"
Country:
UK
","
Language:
English
","
Release Date: 26 October 1979 (USA)
    
See more »
    
"
Absolution,https://www.imdb.com/title/tt0081975/,6.5,1246,95.0,"['Drama', 'Mystery', 'Thriller']",R,,IMDB,Absolution (1978) ,"
Country:
UK
","
Language:
English
","
Release Date: 1 July 1988 (USA)
    
See more »
    
"
Rockers,https://www.imdb.com/title/tt0079815/,7.6,1664,100.0,"['Comedy', 'Drama', 'Music']",,,IMDB,Rockers (1978) ,"
Country:
Jamaica
","
Language:
English
","
Release Date: 1978 (Jamaica)
    
See more »
    
"
The Herd,https://www.imdb.com/title/tt0078355/,8.3,4176,129.0,['Drama'],Not Rated,,IMDB,The Herd (1978) ,"
Country:
Turkey
","
Language:
Kurdish
|
Turkish
","
Release Date: March 1979 (Turkey)
    
See more »
    
"
Sooteh-Delan,https://www.imdb.com/title/tt0078299/,8.3,1502,111.0,"['Drama', 'Romance']",,,IMDB,Sooteh-Delan (1978) ,"
Country:
Iran
","
Language:
Persian
","
Release Date: 1978 (Iran)
    
See more »
    
"
